iter,amp,temp_eV,m0,m2
1,200,25000,3.264420e+20,7.869643e+32
2,194.346193198,24405.474937,3.134368e+20,7.379278e+32
3,196.688118497,25408.3040612,3.236353e+20,7.927386e+32
4,193.894183166,25117.2149909,3.172136e+20,7.682459e+32
5,193.89401671,25117.2775488,3.172137e+20,7.682480e+32
6,193.89397925,25117.2932928,3.172138e+20,7.682486e+32
7,193.893947813,25117.3014755,3.172138e+20,7.682488e+32
