iter,amp,temp_eV,m0,m2
1,202.225177248,25100.4708957,3.166783e+20,7.666232e+32
2,202.567138104,25153.7185613,3.175491e+20,7.703363e+32
3,202.353247523,25085.5784777,3.167851e+20,7.664339e+32
4,202.523073425,25111.4288173,3.172138e+20,7.682495e+32
