iter,amp,temp_eV,m0,m2
1,30961810.1861,18050.8476708,3.150768e+20,7.594334e+32
2,31171807.8386,18260.3961028,3.205191e+20,7.804145e+32
3,30850353.746,17975.7554169,3.127676e+20,7.511130e+32
4,31019692.9275,18149.5680202,3.172168e+20,7.682604e+32
5,31019584.4998,18149.4939038,3.172145e+20,7.682521e+32
6,31019571.1048,18149.4833979,3.172142e+20,7.682510e+32
7,31019565.9347,18149.4790877,3.172141e+20,7.682505e+32
8,31019561.7566,18149.4773815,3.172140e+20,7.682503e+32
9,31019560.5328,18149.4757841,3.172140e+20,7.682502e+32
1,31019560.5328,18149.4757841,3.172140e+20,7.682502e+32
