iter,amp,temp_eV,m0,m2
1,200,25000,3.787565e+20,9.127122e+32
2,167.502762329,21043.0379916,2.914456e+20,5.928989e+32
3,182.312540484,27266.543108,3.603501e+20,9.458454e+32
4,167.080453247,25123.19642,3.171811e+20,7.680375e+32
5,167.082123308,25125.8584573,3.172009e+20,7.681654e+32
6,167.082516113,25126.5197668,3.172057e+20,7.681971e+32
7,167.082707025,25126.8179131,3.172079e+20,7.682114e+32
8,167.082817927,25126.9879688,3.172092e+20,7.682196e+32
9,167.082885381,25127.0982677,3.172100e+20,7.682249e+32
10,167.082934375,25127.1751996,3.172106e+20,7.682286e+32
