iter,amp,temp_eV,m0,m2
1,30961810.1861,18050.8476708,3.134799e+20,7.508324e+32
2,31330600.3479,18469.5741655,3.237693e+20,7.910773e+32
3,30696235.8464,17936.60508,3.090306e+20,7.360984e+32
4,30976009.898,18283.0659949,3.172238e+20,7.682872e+32
5,30975692.5741,18282.785805,3.172163e+20,7.682586e+32
6,30975641.6879,18282.7498009,3.172152e+20,7.682546e+32
7,30975621.8203,18282.7356859,3.172148e+20,7.682531e+32
8,30975610.5038,18282.72821,3.172145e+20,7.682523e+32
9,30975606.2554,18282.7225209,3.172144e+20,7.682517e+32
10,30975601.8776,18282.7192822,3.172143e+20,7.682514e+32
11,30975599.1058,18282.716703,3.172142e+20,7.682511e+32
12,30975597.5539,18282.7146247,3.172142e+20,7.682509e+32
13,30975595.2783,18282.7133564,3.172141e+20,7.682508e+32
14,30975594.7419,18282.7118348,3.172141e+20,7.682507e+32
15,30975593.8865,18282.7106893,3.172141e+20,7.682506e+32
16,30975592.7639,18282.7098587,3.172141e+20,7.682505e+32
17,30975591.4141,18282.7092959,3.172140e+20,7.682504e+32
18,30975591.253,18282.7085012,3.172140e+20,7.682503e+32
19,30975590.8316,18282.707937,3.172140e+20,7.682503e+32
20,30975590.4361,18282.7074073,3.172140e+20,7.682502e+32
1,30975590.4361,18282.7074073,3.172140e+20,7.682502e+32
